Player,Pos,Nation,Age,MP,Min,Gls,Ast,G+A,Gls_90,Ast_90,xG,xAG,Comp,Squad
Medon Berisha,"FW,MF",al ALB,19.0,6,205,0,0,0,0.0,0.0,0.2,0.2,it Serie A,Lecce
Mehdi Bourabia,MF,ma MAR,31.0,10,200,0,0,0,0.0,0.0,0.1,0.0,it Serie A,Frosinone
Mehdi Zeffane,"DF,MF",dz ALG,31.0,23,1231,0,0,0,0.0,0.0,1.4,0.4,fr Ligue 1,Clermont Foot
Melvin Bard,DF,fr FRA,22.0,32,2654,1,2,3,0.03,0.07,0.5,2.8,fr Ligue 1,Nice
Memphis,FW,nl NED,29.0,23,893,5,1,6,0.5,0.1,5.8,1.8,es La Liga,Atlético Madrid
Mergim Berisha,FW,de GER,25.0,8,266,0,0,0,0.0,0.0,0.7,0.4,"de Bundesliga, de Bundesliga","Hoffenheim, Augsburg"
Merlin Röhl,"MF,FW",de GER,21.0,24,1477,2,4,6,0.12,0.24,2.0,2.5,de Bundesliga,Freiburg
Mert Kömür,"MF,DF",de GER,18.0,4,118,1,0,1,0.76,0.0,0.2,0.0,de Bundesliga,Augsburg
Merveille Papela,"MF,DF",de GER,22.0,11,257,0,0,0,0.0,0.0,0.3,0.3,de Bundesliga,Mainz 05
Michael Amir Murillo,DF,pa PAN,27.0,16,997,3,2,5,0.27,0.18,0.8,1.2,fr Ligue 1,Marseille
Michael Folorunsho,"MF,FW",it ITA,25.0,34,2781,5,1,6,0.16,0.03,4.0,1.4,it Serie A,Hellas Verona
Michael Gregoritsch,FW,at AUT,29.0,32,1682,7,4,11,0.37,0.21,9.2,1.0,de Bundesliga,Freiburg
Michael Kayode,DF,it ITA,19.0,26,2058,1,1,2,0.04,0.04,0.5,1.1,it Serie A,Fiorentina
Michael Keane,DF,eng ENG,30.0,9,439,1,0,1,0.21,0.0,0.7,0.0,eng Premier League,Everton
Michael Ndiweni,FW,eng ENG,19.0,1,1,0,0,0,0.0,0.0,0.0,0.0,eng Premier League,Newcastle Utd
Michael Obafemi,"FW,MF",ie IRL,23.0,2,20,0,0,0,0.0,0.0,0.1,0.0,eng Premier League,Burnley
Michael Olakigbe,"DF,FW",eng ENG,19.0,8,59,0,0,0,0.0,0.0,0.1,0.0,eng Premier League,Brentford
Michael Olise,"FW,MF",fr FRA,21.0,19,1275,10,6,16,0.71,0.42,5.5,5.8,eng Premier League,Crystal Palace
Michael Zetterer,GK,de GER,28.0,27,2430,0,0,0,0.0,0.0,0.1,0.2,de Bundesliga,Werder Bremen
Michail Antonio,FW,jm JAM,33.0,26,1695,6,2,8,0.32,0.11,5.8,0.9,eng Premier League,West Ham
Michel Aebischer,MF,ch SUI,26.0,36,2230,0,1,1,0.0,0.04,1.1,1.5,it Serie A,Bologna
Michel Ndary Adopo,MF,fr FRA,23.0,10,109,0,1,1,0.0,0.83,0.1,0.1,it Serie A,Atalanta
Michele Cerofolini,GK,it ITA,24.0,8,675,0,0,0,0.0,0.0,0.0,0.0,it Serie A,Frosinone
Michele Di Gregorio,GK,it ITA,26.0,33,2872,0,0,0,0.0,0.0,0.0,0.0,it Serie A,Monza
Micky van de Ven,DF,nl NED,22.0,27,2339,3,0,3,0.12,0.0,0.6,0.0,eng Premier League,Tottenham
Miguel,"FW,MF",es ESP,23.0,3,65,0,0,0,0.0,0.0,0.1,0.0,es La Liga,Alavés
Miguel Almirón,FW,py PAR,29.0,33,1937,3,1,4,0.14,0.05,4.5,2.6,eng Premier League,Newcastle Utd
Miguel Gutiérrez,DF,es ESP,22.0,35,3032,2,7,9,0.06,0.21,2.8,7.5,es La Liga,Girona
Miguel Rodríguez,MF,es ESP,20.0,15,300,0,0,0,0.0,0.0,0.2,0.2,es La Liga,Celta Vigo
Miguel Ángel Rubio,DF,es ESP,25.0,19,1560,1,0,1,0.06,0.0,0.8,0.1,es La Liga,Granada
Mihailo Ristić,"DF,MF",rs SRB,27.0,12,808,0,0,0,0.0,0.0,0.3,0.1,es La Liga,Celta Vigo
Mika Màrmol,DF,es ESP,21.0,36,3178,0,1,1,0.0,0.03,0.2,1.0,es La Liga,Las Palmas
Mike Maignan,GK,fr FRA,28.0,29,2609,0,1,1,0.0,0.03,0.0,0.3,it Serie A,Milan
Mike Trésor,"FW,MF",be BEL,24.0,16,420,0,0,0,0.0,0.0,0.5,0.4,eng Premier League,Burnley
Mikel Jauregizar,MF,es ESP,19.0,7,151,0,0,0,0.0,0.0,0.0,0.1,es La Liga,Athletic Club
Mikel Merino,MF,es ESP,27.0,32,2482,5,3,8,0.18,0.11,3.3,1.9,es La Liga,Real Sociedad
Mikel Oyarzabal,"FW,MF",es ESP,26.0,33,2156,9,3,12,0.38,0.13,9.1,1.7,es La Liga,Real Sociedad
Mikel Vesga,MF,es ESP,30.0,27,1534,3,1,4,0.18,0.06,2.7,1.2,es La Liga,Athletic Club
Mikey Moore,MF,eng ENG,15.0,2,4,0,0,0,0.0,0.0,0.0,0.0,eng Premier League,Tottenham
Mikkel Damsgaard,MF,dk DEN,23.0,23,842,0,2,2,0.0,0.21,0.9,1.4,eng Premier League,Brentford
Mikkel Desler,DF,dk DEN,28.0,24,1544,0,1,1,0.0,0.06,1.1,0.7,fr Ligue 1,Toulouse
Mikkel Kaufmann,FW,dk DEN,22.0,18,486,1,0,1,0.19,0.0,1.3,1.0,de Bundesliga,Union Berlin
Milan Badelj,MF,hr CRO,34.0,33,2535,1,3,4,0.04,0.11,1.4,1.1,it Serie A,Genoa
Milan Đurić,FW,ba BIH,33.0,37,2461,9,2,11,0.32999999999999996,0.07,7.5,1.9,"it Serie A, it Serie A","Hellas Verona, Monza"
